conversation_id,comment_number,comment,response
2,13,"Okay, that's something that, that I guess I have not much of an image of other than, than Puerto Rico as a tropical island and consequently large numbers of barefoot natives or something not in a perjuritive sense but in a, in a carefree sense, I guess. Although I'm aware of the political problems and unrest, and, and also difficulties they have. Um, I don't know whether state woul-, statehood would improve their economy. I don't, I don't know that the ve-, the act of being a state would have any impact on, on them. Uh, I guess they would have the ability to do some taxing that they don't have now. But of course if their economy is weak the-, there is not much of a base on which to tax. I don't know if they suffer in a sense of income loss as being, since they aren't a state, whether there are monies that escape them so to speak because they aren't able to tax like a typical state would be. How do you feel, though, about, - well I guess it's to their advantage to be a territory, but, um, I wonder how have, having been in a territory but only as a young student - and my parents were in the military at the time so they didn't have ready negative feelings about being in, in Alaska at the time since they voted absentee. I, I would imagine that it must be a little bit of a se-, feeling of second class citizenry, uh, to be in a territory that large and not being able to vote. The District of Columbia people, for instance are quite frustrated, I think, at times in their not having a Senate representative.","Uh-huh. Yeah, those, are good points, um, which obviously I had never thought about. Uh, I don't know, uh, I suppose they also, not being a state are probably freer to determine their own, um, ways of life than they would if, if, - I'm trying to think exactly what is imposed if they would become a state versus a territory."
2,14,"Uh-huh. Yeah, those, are good points, um, which obviously I had never thought about. Uh, I don't know, uh, I suppose they also, not being a state are probably freer to determine their own, um, ways of life than they would if, if, - I'm trying to think exactly what is imposed if they would become a state versus a territory.",Uh-huh.
2,15,Uh-huh.,Perhaps compulsory education.
2,16,Perhaps compulsory education.,"Uh, I see what you mean, so that, -"
2,17,"Uh, I see what you mean, so that, -","Um, and taxes <laughter>."
2,18,"Um, and taxes <laughter>.","Yeah, taxes would undoubtedly be occurring. Uh, there, - I don't know, I don't even understand exactly how taxes are handled in a territorial situation. Um, frequently the laws in a territory are, are in some ways as stringent as they are in other states, I, and I'm thinking in terms of education. But then again each state sets its own and I don't know how a territorial governor takes care of something like Puerto Rico. Um, it's interesting because I haven't thought of them in terms of the problems relative to, uh, economy, uh, I had thought of it more in terms of political, uh, realization and I guess I had automatically made the assumption that, gee, anyone would rather be a state of the U. S. than an independent country so, -"
2,19,"Yeah, taxes would undoubtedly be occurring. Uh, there, - I don't know, I don't even understand exactly how taxes are handled in a territorial situation. Um, frequently the laws in a territory are, are in some ways as stringent as they are in other states, I, and I'm thinking in terms of education. But then again each state sets its own and I don't know how a territorial governor takes care of something like Puerto Rico. Um, it's interesting because I haven't thought of them in terms of the problems relative to, uh, economy, uh, I had thought of it more in terms of political, uh, realization and I guess I had automatically made the assumption that, gee, anyone would rather be a state of the U. S. than an independent country so, -","Uh-huh. Well, well actually I thin-, - one, one thing that I remember hearing in the news the past couple weeks that might be significant is that they've recently voted that Spanish is the official language, which I always assumed it was anyway. So, if they've just taken such action, it would seem to indicate to me either they're doing it because they're afraid they might become a state and want to declare this before they become a state, or maybe because they don't want to become a state for fear of losing the Spanish, or Hispanic heritage."
2,20,"Uh-huh. Well, well actually I thin-, - one, one thing that I remember hearing in the news the past couple weeks that might be significant is that they've recently voted that Spanish is the official language, which I always assumed it was anyway. So, if they've just taken such action, it would seem to indicate to me either they're doing it because they're afraid they might become a state and want to declare this before they become a state, or maybe because they don't want to become a state for fear of losing the Spanish, or Hispanic heritage.","Uh-huh, well that's interesting too. Well it sounds as though you are in favor of, uh, status quo."
2,21,"Uh-huh, well that's interesting too. Well it sounds as though you are in favor of, uh, status quo.","I, I believe I would probably tend towards that."
2,22,"I, I believe I would probably tend towards that.","And I think, uh, having listened to you relative to the economy thing, I think if I were being forced to make a decision I would plead ignorance and wait to do more research before picking one of these. So I'm ul-, I guess I'm ultimately in favor of status quo also at this point,"
2,23,"And I think, uh, having listened to you relative to the economy thing, I think if I were being forced to make a decision I would plead ignorance and wait to do more research before picking one of these. So I'm ul-, I guess I'm ultimately in favor of status quo also at this point,",Well that's interesting.
2,24,Well that's interesting.,leaning towards the statehood.
2,25,leaning towards the statehood.,"Right. What about if, if, um, they demanded to have Spanish as the official language as a condition for statehood."
2,26,"Right. What about if, if, um, they demanded to have Spanish as the official language as a condition for statehood.","I think I would be troubled, I suspect, I believe that any of our states, - and I, constitutionally I don't think there are any prescriptions abo-, against that decision even if Louisiana chose to go with Creole or something. Um, I don't think there is any prohibitions. I would be bothered by that. I'm, I'm bothered by any tendency to resist what I think was one of America's strengths and that's the, the, the melting pot."
2,27,"I think I would be troubled, I suspect, I believe that any of our states, - and I, constitutionally I don't think there are any prescriptions abo-, against that decision even if Louisiana chose to go with Creole or something. Um, I don't think there is any prohibitions. I would be bothered by that. I'm, I'm bothered by any tendency to resist what I think was one of America's strengths and that's the, the, the melting pot.",Uh-huh.
2,28,Uh-huh.,"Uh, I, I am particularly fond of a number of ethnic cuisines, but I'm troubled by too close a clinging to, to the past and I'm also realizing that, that a common language, I think, is the ultimate bond of a country."
2,29,"Uh, I, I am particularly fond of a number of ethnic cuisines, but I'm troubled by too close a clinging to, to the past and I'm also realizing that, that a common language, I think, is the ultimate bond of a country.",Uh-huh.
2,30,Uh-huh.,"And Canada, I guess, comes to my mind as they're going through the throes up there relative to French Quebec and whatever. Uh, that I, I think that would be a negative step to make and I think that that they would need to reassess that. Um, I'm troubled even in by bilingualism, uh, in so far that it intr-, it gets in the way of, of, of the melting pot aspect."
2,31,"And Canada, I guess, comes to my mind as they're going through the throes up there relative to French Quebec and whatever. Uh, that I, I think that would be a negative step to make and I think that that they would need to reassess that. Um, I'm troubled even in by bilingualism, uh, in so far that it intr-, it gets in the way of, of, of the melting pot aspect.","Uh-huh, uh-huh. That's interesting because although I tend to be bilingual, Spanish based on experience, um, I was in bilingual education in California and I didn't have any problem with my students but I noticed my, my brother, who was quite a bit younger, was learning Spanish in elementary school and he can't speak a word."
2,32,"Uh-huh, uh-huh. That's interesting because although I tend to be bilingual, Spanish based on experience, um, I was in bilingual education in California and I didn't have any problem with my students but I noticed my, my brother, who was quite a bit younger, was learning Spanish in elementary school and he can't speak a word.",Um.
2,33,Um.,"And so, obviously it didn't work in California."
2,34,"And so, obviously it didn't work in California.","Yeah, but I'm rather in favor of people being bilingual,"
2,35,"Yeah, but I'm rather in favor of people being bilingual,",Right.
2,36,Right.,and I'd be quite happy to see a national law in which every student was required to learn English and a second language.
2,37,and I'd be quite happy to see a national law in which every student was required to learn English and a second language.,Right.
2,38,Right.,"But I'm, I'm disturbed by a country that attempts to be functionally bilingual at the official level."
2,39,"But I'm, I'm disturbed by a country that attempts to be functionally bilingual at the official level.","Oh, I see."
2,40,"Oh, I see.","Um, I'm, I'm concerned about whether or not that causes fractiousness I guess."
2,41,"Um, I'm, I'm concerned about whether or not that causes fractiousness I guess.","Uh-huh, uh-huh."
2,42,"Uh-huh, uh-huh.",Well I think we have gone to time and I appreciate your having called.
2,43,Well I think we have gone to time and I appreciate your having called.,"Okay, well thank you very much."
2,44,"Okay, well thank you very much.",Good-bye.
2,45,Good-bye.,"Bye, bye."
3,2,"Well, I am new to Texas, so I don't even know what the law is,",Uh-huh?
3,3,Uh-huh?,"in the state, do you?"
3,4,"in the state, do you?","Well, yes, of course, we do have capital punishment. And we've, you know, done away with our, quote, fair share number."
3,5,"Well, yes, of course, we do have capital punishment. And we've, you know, done away with our, quote, fair share number.","Oh, that's right, I think now, that I recall, reading about it in the paper."
3,6,"Oh, that's right, I think now, that I recall, reading about it in the paper.",Yes.
3,7,Yes.,"Um, you know, different things, - is it restricted to certain crimes? Or just, -"
3,8,"Um, you know, different things, - is it restricted to certain crimes? Or just, -","Yes, it's certain crimes, uh, capital crimes, murder, of course, uh, rape,"
3,9,"Yes, it's certain crimes, uh, capital crimes, murder, of course, uh, rape,",Uh-huh.
3,10,Uh-huh.,this sort of thing.
3,11,this sort of thing.,Um. Well. -
3,12,Um. Well. -,"It seems to be a disproportionate number of blacks, you know, that get into the system."
3,13,"It seems to be a disproportionate number of blacks, you know, that get into the system.","Yes, I know, the one thing that I think is really sad about it, as I recall, from the articles that I've read, is that if, if people who have been there, <throat_clearing> are going to be killed. - Um, there's people that come to the prisons and they're very violent and, they want, I mean they're anxious for someone to be killed <child>."
3,14,"Yes, I know, the one thing that I think is really sad about it, as I recall, from the articles that I've read, is that if, if people who have been there, <throat_clearing> are going to be killed. - Um, there's people that come to the prisons and they're very violent and, they want, I mean they're anxious for someone to be killed <child>.",Uh-huh. Yes.
3,15,Uh-huh. Yes.,"I just, I can't see that."
3,16,"I just, I can't see that.","That happens on occasion, it sure does,"
3,17,"That happens on occasion, it sure does,",<Throat_clearing>.
3,18,<Throat_clearing>.,"maybe it just depends on, you know, how closely the crime, you know,"
3,19,"maybe it just depends on, you know, how closely the crime, you know,",Uh-huh.
3,20,Uh-huh.,"has affected you personally. You know, I don't know, or a person personally."
3,21,"has affected you personally. You know, I don't know, or a person personally.",No.
3,22,No.,"I think I would be, you know, - I guess, really if I had to say yes or no, I guess I would say, you know, that I am in certain cases, in favor of the death penalty, I don't know that it's a big deterrent really. I don't know that it is. I don't know how we'd ever find out, you know, really whether it is or not."
3,23,"I think I would be, you know, - I guess, really if I had to say yes or no, I guess I would say, you know, that I am in certain cases, in favor of the death penalty, I don't know that it's a big deterrent really. I don't know that it is. I don't know how we'd ever find out, you know, really whether it is or not.","Well, there is so many chances for appeal, that it kee-, -"
3,24,"Well, there is so many chances for appeal, that it kee-, -","Oh, yeah, oh, absolutely, yeah, it goes on for years and years, and costs hundreds of thousands of dollars, taxpayer money."
3,25,"Oh, yeah, oh, absolutely, yeah, it goes on for years and years, and costs hundreds of thousands of dollars, taxpayer money.","Ye-, it's really sad."
3,26,"Ye-, it's really sad.",Yeah.
3,27,Yeah.,"I don't know, I just think, um, - somehow I hoped that as a people we could be better than, than, um, expecting,"
3,28,"I don't know, I just think, um, - somehow I hoped that as a people we could be better than, than, um, expecting,",Yes.
3,29,Yes.,"the feeling that it - with, - someone is calling for someone else to be killed, you know."
3,30,"the feeling that it - with, - someone is calling for someone else to be killed, you know.","Yes, uh-huh."
3,31,"Yes, uh-huh.",Is really kind of bad <child>.
3,32,Is really kind of bad <child>.,"Yes it is. It's a tough, tough question. It really is."
3,33,"Yes it is. It's a tough, tough question. It really is.",Um.
3,34,Um.,"I suspect I would be, uh, you know, a lot more favor of it if, you know, one of my children were, you know, brutally killed, or something like that. Like I say, I think it depends on how personally affected, you know, you might be by it."
3,35,"I suspect I would be, uh, you know, a lot more favor of it if, you know, one of my children were, you know, brutally killed, or something like that. Like I say, I think it depends on how personally affected, you know, you might be by it.","That's true and there really are criminals that are hard-core and,"
3,36,"That's true and there really are criminals that are hard-core and,","Oh, absolutely."
3,37,"Oh, absolutely.","repeat, and never have any chance for, -"
3,38,"repeat, and never have any chance for, -","Tha-, that's right."
3,39,"Tha-, that's right.","Oh, I don't know, is it, - do you feel at all like, it's a religious issue?"
3,40,"Oh, I don't know, is it, - do you feel at all like, it's a religious issue?",Not with me personally. It is with a lot of other people.
3,41,Not with me personally. It is with a lot of other people.,<Throat_clearing> Uh-huh.
3,42,<Throat_clearing> Uh-huh.,"It's not, not to me personally, no."
3,43,"It's not, not to me personally, no.",Um.
3,44,Um.,No.
3,45,No.,"I don't know, sometimes I feel, - I mean I do go to church and things. I don't know how I would feel about it. But like you say, if it hit you personally,"
3,46,"I don't know, sometimes I feel, - I mean I do go to church and things. I don't know how I would feel about it. But like you say, if it hit you personally,",Uh-huh.
3,47,Uh-huh.,"closer at home you would feel, +"
3,48,"closer at home you would feel, +",Yes.
3,49,Yes.,feel differently.
